collected_at,collection_date,ticker,status,earnings_date,days_to_earnings,spot,expiry,strike,implied_em,note,days_expiry_after_earnings,moneyness,call_bid,call_ask,call_last,call_iv,call_volume,call_oi,put_bid,put_ask,put_last,put_iv,put_volume,put_oi,call_mid,put_mid,price_source,straddle_price,call_rel_spread,put_rel_spread,parity_gap,hist_em,sector,divergence
2026-07-29T15:51:50,2026-07-29,ADP,ok,2026-07-29,0.0,273.76,2026-07-31,270.0,0.037259,,2.0,-0.01373,6.5,9.2,9.34,0.5958292370605469,19.0,141.0,1.8,2.9,1.96,0.456060126953125,42.0,21.0,7.85,2.35,mid,10.2,0.34395,0.46809,0.006355932203389864,0.0213002076528544,Industrials,1.7492317730999676
2026-07-28T15:44:49,2026-07-28,V,ok,2026-07-28,0.0,369.39,2026-07-31,370.0,0.036073,,3.0,0.00165,5.7,6.15,5.95,0.417852501220703,1123.0,655.0,6.95,7.85,6.96,0.4885305053710938,402.0,25.0,5.925000000000001,7.4,mid,13.325,0.07595,0.12162,0.002341698475865487,0.0169287148245395,Financials,2.130876464863674
2026-07-28T15:44:46,2026-07-28,UPS,ok,2026-07-28,0.0,105.53,2026-07-31,106.0,0.02876,,3.0,0.00445,1.4,1.62,1.44,0.4179745703124999,1410.0,77.0,1.38,1.67,1.53,0.3222724023437499,1575.0,425.0,1.51,1.525,mid,3.035,0.1457,0.19016,0.004311570169619997,0.0662800345438648,Industrials,0.43391649080940564
2026-07-28T15:44:26,2026-07-28,TER,ok,2026-07-28,0.0,319.08,2026-07-31,320.0,0.145105,,3.0,0.00288,22.0,25.5,23.8,1.8166513073730468,50.0,5.0,20.7,24.4,22.2,1.6572282763671875,5.0,88.0,23.75,22.549999999999997,mid,46.3,0.14737,0.16408,0.006644101792653894,0.1169332334580838,Information Technology,1.240921812463304
2026-07-28T15:44:13,2026-07-28,STX,ok,2026-07-28,0.0,746.89,2026-07-31,747.5,0.135428,,3.0,0.00082,48.2,57.2,53.9,1.7008071600341796,15.0,5.0,46.0,50.9,49.73,1.544496906433105,6.0,7.0,52.7,48.45,mid,101.15,0.17078,0.10114,0.006506982286548238,0.0911076546832711,Information Technology,1.4864612690427081
2026-07-28T15:44:10,2026-07-28,SPGI,ok,2026-07-28,0.0,420.0,2026-07-31,420.0,0.029524,,3.0,0.0,5.9,8.2,5.95,0.470281176147461,2.0,18.0,4.6,6.1,5.2,0.3450993225097656,7.0,68.0,7.05,5.35,mid,12.4,0.32624,0.28037,0.00404761904761902,0.0368536499436734,Financials,0.8011146805031271
2026-08-04T14:12:59,2026-08-04,AMD,ok,2026-08-04,0.0,526.45,2026-08-05,527.5,0.080919,,1.0,0.00199,21.1,21.6,21.3,1.4060088293457031,2073.0,86.0,21.05,21.45,21.25,1.3320345898437496,227.0,118.0,21.35,21.25,mid,42.6,0.02342,0.01882,0.0021844429670433607,0.0727075577823129,Information Technology,1.112937945767237
2026-07-29T15:51:58,2026-07-29,ALGN,ok,2026-07-29,0.0,180.76,2026-07-31,180.0,0.113687,,2.0,-0.0042,10.2,12.1,11.1,1.6518572094726562,9.0,17.0,8.5,10.3,9.6,1.499514221191406,8.0,1.0,11.15,9.4,mid,20.55,0.1704,0.19149,0.005476875414914855,0.0828606714686792,Health Care,1.3720260527091306
2026-07-29T15:53:57,2026-07-29,FTNT,ok,2026-07-29,0.0,153.885,2026-07-31,155.0,0.138415,,2.0,0.00725,9.3,10.55,9.93,1.8757330432128905,127.0,484.0,10.05,12.7,11.45,1.9387210095214849,79.0,931.0,9.925,11.375,mid,21.3,0.12594,0.23297,0.002176950320044056,0.1117871692617771,Information Technology,1.2382011362669656
2026-08-04T14:13:01,2026-08-04,AMGN,ok,2026-08-04,0.0,388.26,2026-08-07,387.5,0.049516,,3.0,-0.00196,8.7,10.9,9.9,0.5813030151367188,24.0,12.0,8.4,10.45,9.58,0.6051064880371095,10.0,74.0,9.8,9.425,mid,19.225,0.22449,0.21751,0.0009916035646216218,0.0584773138805552,Health Care,0.8467557196820046
