ticker,modal_timing,agreement_share,n_events,n_bmo,n_amc,recent_timing,switched,confidence
A,AMC,1.0,42,0,42,AMC,False,high
AAPL,AMC,1.0,43,0,43,AMC,False,high
ABBV,BMO,0.7,60,42,18,BMO,False,medium
ABNB,AMC,1.0,22,0,22,AMC,False,high
ABT,BMO,0.955,44,42,2,BMO,False,high
ACGL,AMC,0.961,51,2,49,AMC,False,high
ACN,BMO,0.976,42,41,1,BMO,False,high
ADBE,AMC,0.929,42,3,39,AMC,False,high
ADI,BMO,1.0,42,42,0,BMO,False,high
ADM,BMO,0.588,17,10,7,BMO,False,low
ADP,BMO,1.0,41,41,0,BMO,False,high
ADSK,AMC,1.0,44,0,44,AMC,False,high
AEE,AMC,0.619,42,16,26,AMC,False,low
AEP,BMO,0.976,42,41,1,BMO,False,high
AES,BMO,0.619,42,26,16,AMC,True,low
AFL,AMC,0.977,43,1,42,AMC,False,high
AIG,AMC,0.898,49,5,44,AMC,False,medium
AIZ,AMC,0.962,52,2,50,AMC,False,high
AJG,AMC,1.0,42,0,42,AMC,False,high
AKAM,AMC,1.0,42,0,42,AMC,False,high
ALB,AMC,0.978,45,1,44,AMC,False,high
ALGN,AMC,1.0,41,0,41,AMC,False,high
ALL,AMC,0.9,50,5,45,AMC,False,high
ALLE,BMO,1.0,43,43,0,BMO,False,high
AMAT,AMC,1.0,41,0,41,AMC,False,high
AMCR,AMC,0.857,28,4,24,AMC,False,medium
AMD,AMC,0.977,44,1,43,AMC,False,high
AME,AMC,0.905,21,2,19,AMC,False,high
AMGN,AMC,0.976,42,1,41,AMC,False,high
AMP,AMC,0.878,41,5,36,BMO,True,medium
AMT,BMO,1.0,42,42,0,BMO,False,high
AMZN,AMC,1.0,42,0,42,AMC,False,high
ANET,AMC,1.0,43,0,43,AMC,False,high
AON,BMO,1.0,42,42,0,BMO,False,high
AOS,BMO,1.0,45,45,0,BMO,False,high
APA,BMO,0.625,16,10,6,AMC,True,low
APD,BMO,0.955,44,42,2,BMO,False,high
APH,BMO,0.889,9,8,1,BMO,False,medium
APO,BMO,0.704,27,19,8,BMO,False,medium
APP,AMC,1.0,22,0,22,AMC,False,high
APTV,BMO,1.0,30,30,0,BMO,False,high
ARE,AMC,0.977,43,1,42,AMC,False,high
ARES,BMO,0.881,42,37,5,BMO,False,medium
ATO,AMC,0.978,45,1,44,AMC,False,high
AVB,BMO,1.0,42,42,0,BMO,False,high
AVGO,AMC,0.97,33,1,32,AMC,False,high
AVY,BMO,0.977,43,42,1,BMO,False,high
AWK,AMC,0.953,43,2,41,AMC,False,high
AXON,AMC,0.976,42,1,41,AMC,False,high
AXP,BMO,0.69,42,29,13,BMO,False,low
AZO,BMO,0.976,42,41,1,BMO,False,high
BA,BMO,0.913,46,42,4,BMO,False,high
BAC,BMO,1.0,43,43,0,BMO,False,high
BALL,BMO,1.0,29,29,0,BMO,False,high
BAX,BMO,0.978,46,45,1,BMO,False,high
BBY,BMO,1.0,42,42,0,BMO,False,high
BDX,BMO,0.898,49,44,5,BMO,False,medium
BEN,BMO,1.0,42,42,0,BMO,False,high
BF-B,BMO,0.976,41,40,1,BMO,False,high
BG,BMO,1.0,10,10,0,BMO,False,high
BIIB,BMO,0.891,46,41,5,BMO,False,medium
BKNG,AMC,0.93,43,3,40,AMC,False,high
BKR,BMO,0.703,37,26,11,AMC,True,medium
BLDR,BMO,0.532,47,25,22,BMO,False,low
BLK,BMO,1.0,7,7,0,BMO,False,medium
BMY,BMO,0.977,43,42,1,BMO,False,high
BNY,BMO,0.977,43,42,1,BMO,False,high
BR,BMO,0.978,46,45,1,BMO,False,high
BRK-B,AMC,0.765,34,8,26,AMC,False,medium
BRO,AMC,0.976,42,1,41,AMC,False,high
BSX,BMO,1.0,48,48,0,BMO,False,high
BX,BMO,0.976,42,41,1,BMO,False,high
BXP,AMC,0.881,42,5,37,AMC,False,medium
C,BMO,0.903,31,28,3,BMO,False,high
CAG,BMO,0.951,41,39,2,BMO,False,high
CAH,BMO,0.978,45,44,1,BMO,False,high
CARR,BMO,0.96,25,24,1,BMO,False,high
CASY,AMC,0.918,61,5,56,AMC,False,high
CAT,BMO,0.977,43,42,1,BMO,False,high
CB,AMC,0.96,50,2,48,AMC,False,high
CBOE,BMO,0.955,44,42,2,BMO,False,high
CBRE,BMO,0.953,43,41,2,BMO,False,high
CCI,AMC,0.933,45,3,42,AMC,False,high
CCL,BMO,0.971,35,34,1,BMO,False,high
CDNS,AMC,0.977,44,1,43,AMC,False,high
CDW,BMO,0.977,44,43,1,BMO,False,high
CEG,BMO,1.0,17,17,0,BMO,False,high
CF,AMC,0.875,56,7,49,AMC,False,medium
CFG,BMO,1.0,42,42,0,BMO,False,high
CHD,BMO,0.953,43,41,2,BMO,False,high
CHRW,AMC,0.955,44,2,42,AMC,False,high
